,neighborhood,code,name,longitude,latitude,rental_methods,capacity
181,Le Plateau-Mont-Royal,6151,Parthenais / du Mont-Royal,-73.57146307826042,45.53646917409483,"['KEY', 'CREDITCARD']",23.0
182,Le Plateau-Mont-Royal,6152,Chabot / du Mont-Royal,-73.57358872890472,45.53418509490266,"['KEY', 'CREDITCARD']",23.0
183,Le Plateau-Mont-Royal,6153,Cartier / Marie-Anne,-73.571776,45.532674,"['KEY', 'CREDITCARD']",23.0
184,Le Plateau-Mont-Royal,6154,Marquette / du Mont-Royal,-73.57544,45.53229,"['KEY', 'CREDITCARD']",19.0
185,Le Plateau-Mont-Royal,6155,Garnier / du Mont-Royal,-73.57674,45.53092,"['KEY', 'CREDITCARD']",27.0
186,Le Plateau-Mont-Royal,6156,Marie-Anne / de la Roche,-73.57618510723114,45.52775814390426,"['KEY', 'CREDITCARD']",19.0
187,Le Plateau-Mont-Royal,6157,de Brébeuf / du Mont-Royal,-73.57815384864807,45.52940777616881,"['KEY', 'CREDITCARD']",27.0
188,Le Plateau-Mont-Royal,6158,Gilford / de Brébeuf,-73.58162596821785,45.53081622781595,"['KEY', 'CREDITCARD']",19.0
189,Le Plateau-Mont-Royal,6160,Garnier / St-Joseph,-73.58122229576111,45.5329774553515,"['KEY', 'CREDITCARD']",23.0
190,Le Plateau-Mont-Royal,6161,Cartier / St-Joseph,-73.57869029045105,45.53582823686429,"['KEY', 'CREDITCARD']",18.0
191,Le Plateau-Mont-Royal,6163,Marquette / Laurier,-73.5822,45.53543,"['KEY', 'CREDITCARD']",27.0
192,Le Plateau-Mont-Royal,6164,de Lanaudière / Laurier,-73.58373686671257,45.5333136054992,"['KEY', 'CREDITCARD']",19.0
193,Le Plateau-Mont-Royal,6165,Laurier / de Brébeuf,-73.58481109142303,45.53251395631143,"['KEY', 'CREDITCARD']",31.0
194,Le Plateau-Mont-Royal,6166,Gerry-Boulet / St-Grégoire,-73.589306473732,45.5337352275406,"['KEY', 'CREDITCARD']",23.0
195,Le Plateau-Mont-Royal,6167,Marquette / St-Grégoire,-73.58584,45.53703,"['KEY', 'CREDITCARD']",27.0
196,Le Plateau-Mont-Royal,6169,Boyer / du Mont-Royal,-73.57991673052311,45.527432126380575,"['KEY', 'CREDITCARD']",19.0
197,Le Plateau-Mont-Royal,6170,de Mentana / Laurier,-73.58763813972473,45.53045006508681,"['KEY', 'CREDITCARD']",23.0
198,Le Plateau-Mont-Royal,6173,Berri / Cherrier,-73.56950908899307,45.51908844137639,"['KEY', 'CREDITCARD']",39.0
199,Le Plateau-Mont-Royal,6174,Roy / St-Denis,-73.5727,45.51908,"['KEY', 'CREDITCARD']",23.0
200,Le Plateau-Mont-Royal,6175,St-Christophe / Cherrier,-73.5682162642479,45.52027785033668,"['KEY', 'CREDITCARD']",31.0
201,Le Plateau-Mont-Royal,6176,de Mentana / Rachel,-73.57555881142616,45.52496323980324,"['KEY', 'CREDITCARD']",19.0
202,Le Plateau-Mont-Royal,6177,St-Hubert / Duluth,-73.57418417930603,45.52242565278864,"['KEY', 'CREDITCARD']",23.0
203,Le Plateau-Mont-Royal,6178,Rivard / Rachel,-73.5775906,45.5222776,"['KEY', 'CREDITCARD']",15.0
204,Le Plateau-Mont-Royal,6179,Duluth / St-Denis,-73.57598394155502,45.52060423232697,"['KEY', 'CREDITCARD']",15.0
205,Le Plateau-Mont-Royal,6181,Clark / Rachel,-73.58212888,45.5173538,"['KEY', 'CREDITCARD']",31.0
206,Le Plateau-Mont-Royal,6182,de Bullion / du Mont-Royal,-73.58526840806007,45.52175120848515,"['KEY', 'CREDITCARD']",15.0
207,Le Plateau-Mont-Royal,6183,Laval / du Mont-Royal,-73.58414590358734,45.5223645775784,"['KEY', 'CREDITCARD']",19.0
208,Le Plateau-Mont-Royal,6184,Métro Mont-Royal (Rivard / du Mont-Royal),-73.58255,45.524673,"['KEY', 'CREDITCARD']",39.0
209,Le Plateau-Mont-Royal,6186,St-Hubert / Laurier,-73.58865737915039,45.52931012171625,"['KEY', 'CREDITCARD']",15.0
210,Le Plateau-Mont-Royal,6187,Resther / du Mont-Royal,-73.58177483081818,45.52562819123256,"['KEY', 'CREDITCARD']",23.0
