code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
6264,Chabot / de Bellechasse,Rosemont-La Petite-Patrie,-73.59214425086974,45.5425697477813,10,8,2,0
6265,Parthenais / Laurier,Le Plateau-Mont-Royal,-73.5774591565132,45.539258526059406,10,10,0,0
6266,Louis-Hébert / de Bellechasse,Rosemont-La Petite-Patrie,-73.58868420124054,45.546661109634606,10,2,0,0
6267,Chabot / Beaubien,Rosemont-La Petite-Patrie,-73.59564453363419,45.54437554639807,10,4,6,0
6268,Chambord / Beaubien,Rosemont-La Petite-Patrie,-73.59934329986572,45.539932183126695,10,8,0,0
6269,Wurtele / de Rouen,Ville-Marie,-73.5533943772316,45.5376278134876,10,3,0,0
6270,Fabre / St-Zotique,Rosemont-La Petite-Patrie,-73.60101029276848,45.54345172630376,10,9,0,0
6271,St-Jean-Baptiste / Notre-Dame,Rivière-des-Prairies-Pointe-aux-Trembles,-73.49011301994324,45.640002860465096,5,4,0,0
6272,de Bordeaux / St-Zotique,Rosemont-La Petite-Patrie,-73.59866470098495,45.546539011777845,10,3,7,0
6273,Cartier / Bélanger,Rosemont-La Petite-Patrie,-73.60266387462616,45.546797412794085,10,10,0,0
6274,de la Roche / St-Joseph,Le Plateau-Mont-Royal,-73.583695,45.531164,10,3,0,0
