station_code,date,departures,arrivals,excess_arrivals
6188,2019-04-15,12,8,-4
6190,2019-04-15,62,45,-17
6191,2019-04-15,27,21,-6
6192,2019-04-15,10,13,3
6193,2019-04-15,21,26,5
6194,2019-04-15,45,36,-9
6195,2019-04-15,22,18,-4
6196,2019-04-15,27,20,-7
6197,2019-04-15,20,15,-5
6198,2019-04-15,3,4,1
6199,2019-04-15,35,18,-17
6200,2019-04-15,21,17,-4
6201,2019-04-15,15,16,1
6202,2019-04-15,38,22,-16
6203,2019-04-15,6,8,2
6204,2019-04-15,28,26,-2
6205,2019-04-15,28,15,-13
6206,2019-04-15,37,39,2
6207,2019-04-15,15,13,-2
6208,2019-04-15,26,30,4
6209,2019-04-15,29,21,-8
6210,2019-04-15,19,11,-8
6211,2019-04-15,39,36,-3
6212,2019-04-15,28,15,-13
6213,2019-04-15,36,25,-11
6214,2019-04-15,23,21,-2
6215,2019-04-15,22,12,-10
6216,2019-04-15,20,4,-16
6217,2019-04-15,34,10,-24
6218,2019-04-15,18,13,-5
6219,2019-04-15,18,11,-7
6220,2019-04-15,36,36,0
6221,2019-04-15,59,49,-10
6222,2019-04-15,12,8,-4
6223,2019-04-15,24,14,-10
6224,2019-04-15,15,14,-1
6225,2019-04-15,26,21,-5
6226,2019-04-15,3,2,-1
6227,2019-04-15,33,29,-4
6228,2019-04-15,7,3,-4
6229,2019-04-15,20,15,-5
6230,2019-04-15,12,12,0
6231,2019-04-15,29,24,-5
6233,2019-04-15,25,14,-11
6234,2019-04-15,18,19,1
6235,2019-04-15,34,29,-5
6236,2019-04-15,17,19,2
6237,2019-04-15,14,7,-7
6240,2019-04-15,4,6,2
6241,2019-04-15,15,12,-3
6243,2019-04-15,21,15,-6
6245,2019-04-15,12,10,-2
6246,2019-04-15,13,14,1
6247,2019-04-15,10,16,6
6248,2019-04-15,43,35,-8
6249,2019-04-15,10,10,0
6250,2019-04-15,15,18,3
6251,2019-04-15,1,7,6
6252,2019-04-15,15,8,-7
6254,2019-04-15,19,16,-3
6255,2019-04-15,18,16,-2
6257,2019-04-15,7,6,-1
6258,2019-04-15,13,14,1
6259,2019-04-15,6,5,-1
6260,2019-04-15,8,12,4
6261,2019-04-15,7,10,3
6262,2019-04-15,13,12,-1
6263,2019-04-15,7,13,6
6264,2019-04-15,11,16,5
6265,2019-04-15,22,16,-6
6266,2019-04-15,7,7,0
6267,2019-04-15,12,8,-4
6268,2019-04-15,14,16,2
6269,2019-04-15,6,8,2
6272,2019-04-15,7,7,0
6273,2019-04-15,7,6,-1
6274,2019-04-15,18,13,-5
6275,2019-04-15,11,7,-4
6276,2019-04-15,14,12,-2
6277,2019-04-15,16,12,-4
6278,2019-04-15,5,3,-2
6279,2019-04-15,6,9,3
6280,2019-04-15,32,25,-7
6301,2019-04-15,2,4,2
6302,2019-04-15,3,6,3
6303,2019-04-15,3,2,-1
6304,2019-04-15,1,0,-1
6305,2019-04-15,3,1,-2
6306,2019-04-15,16,6,-10
6307,2019-04-15,28,23,-5
6309,2019-04-15,10,11,1
6310,2019-04-15,20,15,-5
6311,2019-04-15,14,9,-5
6312,2019-04-15,5,5,0
6313,2019-04-15,9,14,5
6314,2019-04-15,11,6,-5
6315,2019-04-15,18,9,-9
6316,2019-04-15,11,6,-5
6321,2019-04-15,14,13,-1
6322,2019-04-15,12,13,1
6323,2019-04-15,3,3,0
6324,2019-04-15,2,11,9
6328,2019-04-15,24,19,-5
6330,2019-04-15,10,19,9
6331,2019-04-15,9,7,-2
6332,2019-04-15,8,9,1
6333,2019-04-15,6,9,3
6334,2019-04-15,17,17,0
6335,2019-04-15,7,9,2
6336,2019-04-15,7,5,-2
6338,2019-04-15,4,3,-1
6339,2019-04-15,3,13,10
6340,2019-04-15,7,6,-1
6341,2019-04-15,11,15,4
6343,2019-04-15,8,10,2
6344,2019-04-15,13,12,-1
6345,2019-04-15,2,3,1
6347,2019-04-15,11,11,0
6349,2019-04-15,10,7,-3
6350,2019-04-15,11,12,1
6354,2019-04-15,6,5,-1
6355,2019-04-15,11,9,-2
6356,2019-04-15,15,14,-1
6357,2019-04-15,3,2,-1
6358,2019-04-15,1,4,3
6359,2019-04-15,21,21,0
6360,2019-04-15,4,5,1
6361,2019-04-15,4,6,2
6362,2019-04-15,8,9,1
6363,2019-04-15,9,5,-4
